Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Chevrolet,Camaro SS,2021,6.2,455,455,4,"40,000"
Ford,GT,2022,3.5,660,550,3,"5,00,000"
Acura,NSX,2022,3.5,573,476,2.7,"1,57,500"
Aston Martin,DB11,2021,5.2,630,516,3.7,"2,09,000"
Bentley,Continental GT,2022,4,542,568,3.9,"2,02,500"
Bugatti,Chiron,2021,8,1500,1180,2.4,"30,00,000"
Dodge,Challenger Hellcat,2022,6.2,717,656,3.5,"67,500"
Jaguar,F-Type,2021,5,575,516,3.5,"1,03,200"
Koenigsegg,Jesko,2022,5,1280,1106,2.5,"28,00,000"
Lexus,LC,2021,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,04,200"
Maserati,GranTurismo,2021,4.7,454,384,4.7,"1,33,050"
McLaren,570S,2021,3.8,562,443,3.1,"1,96,350"
Mercedes-Benz,AMG C63,2022,4,503,516,3.8,"69,900"
Pagani,Huayra BC,2021,6,791,774,2.7,"26,00,000"
Porsche,Cayman GT4,2022,4,414,309,4.2,"1,02,900"
Rimac,Nevera,2022,Electric,1914,1696,1.85,"24,00,000"
Rolls-Royce,Wraith,2021,6.7,624,605,4.4,"3,38,000"
Tesla,Roadster,2022,Electric,1000+,"10,000+",1.9,"2,00,000"
Acura,NSX,2022,3.5,573,476,2.7,"1,57,500"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,50,000"
Bentley,Continental GT,2021,6,626,664,3.6,"2,18,400"
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"73,000"
Jaguar,F-Type R,2022,5,575,516,3.5,"1,03,200"
Lexus,LC 500,2021,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,04,970"
Maserati,GranTurismo,2021,4.7,454,384,4.8,"1,32,400"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,01,200"
Tesla,Roadster,2023,Electric,"1,000+",737,< 1.9,"2,00,000"
Alpine,A110,2021,1.8,288,236,4.4,"71,500"
Audi,RS7,2021,4,591,590,3.5,"1,14,000"
BMW,M4,2021,3,473,406,4.1,"71,800"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,195"
Dodge,Viper,2017,8.4,645,600,3.3,"1,18,795"
Ferrari,Portofino,2021,3.9,591,560,3.5,"2,18,750"
Jaguar,F-Type,2022,3,296,295,5.4,"61,600"
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"5,17,700"
McLaren,600LT,2021,3.8,592,457,2.8,"2,40,000"
Aston Martin,DB11,2021,5.2,630,516,3.5,"2,21,400"
Bentley,Continental GT,2021,6,626,664,3.6,"2,02,500"
Bugatti,Chiron,2022,8,1500,1180,2.4,"30,00,000"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,100"
Jaguar,F-Type R,2022,5,575,516,3.5,"1,03,200"
Koenigsegg,Jesko,2022,5,1280,1015,2.5,"28,00,000"
Lexus,LC 500,2021,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,00,450"
Maserati,GranTurismo,2021,4.7,454,384,4.8,"1,50,980"
McLaren,Artura,2022,3,671,531,3,"2,25,000"
Mercedes-AMG,C 63 S,2022,4,503,516,3.7,"81,550"
Pagani,Huayra,2021,6,764,738,2.8,"35,00,000"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,02,550"
Rimac,C_Two,2022,N/A,1888,1696,1.8,"24,00,000"
Rolls-Royce,Wraith,2021,6.6,624,642,4.4,"3,30,000"
Tesla,Roadster,2022,N/A,10000+,0,1.9,"2,00,000"
Toyota,Supra,2022,3,382,368,3.9,"43,090"
Acura,NSX,2021,3.5,573,476,2.7,"1,57,500"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,46,000"
Bentley,Continental GT,2022,4,542,568,3.9,"2,07,825"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195"
Jaguar,F-Type,2022,3,380,339,4.8,"62,250"
Lexus,LC 500,2022,5,471,398,4.4,"92,000"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,05,000"
Maserati,GranTurismo,2022,4.7,454,384,4.7,"1,34,300"
McLaren,570S,2022,3.8,562,443,2.9,"2,04,550"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,02,000"
Tesla,Model S Plaid,2021,Electric (tri-motor),1020,1050,1.9,"1,41,190"
Audi,RS 5,2021,2.9,444,443,3.5,"75,100"
BMW,M2 Competition,2022,3,405,406,4,"59,895"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,995"
Dodge,Viper ACR,2017,8.4,645,600,3.3,"1,26,190"
Ford,GT,2021,3.5,660,550,2.9,"5,00,000"
Porsche,Taycan 4S,2022,2.5,482,472,3.8,"1,02,900"
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"4,17,650"
Aston Martin,DB11,2021,5.2,630,516,3.5,"2,05,000"
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"81,250"
Audi,RS7 Sportback,2022,4,591,590,3.5,"1,15,045"
BMW,M4 Competition,2021,3,503,479,3.9,"75,695"
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"42,000"
Dodge,Charger Hellcat,2021,6.2,717,650,3.6,"71,490"
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"2,74,280"
Ford,GT,2021,3.5,660,550,2.8,"5,00,000"
Jaguar,F-Type R,2021,5,575,516,3.5,"1,03,200"
Koenigsegg,Jesko Absolut,2022,5,1600,1106,2.1,"28,00,000"
Lexus,LC 500,2021,5,471,398,4.4,"93,050"
Lotus,Evija,2022,Electric,1973,1254,2.5,"27,50,000"
McLaren,GT,2022,4,612,465,3.2,"2,10,000"
Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.2,"3,26,050"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,02,500"
Lamborghini,Aventador,2021,6.5,770,531,2.8,"4,17,650"
Ferrari,Portofino,2021,3.9,591,560,3.3,"2,18,750"
Audi,TT RS,2022,2.5,394,354,3.6,"69,000"
McLaren,600LT Spider,2021,3.8,592,457,2.8,"2,56,500"
BMW,M4,2022,3,473,406,4.1,"72,800"
Mercedes-Benz,AMG C 63,2022,4,503,516,3.8,"70,000"
Chevrolet,Camaro SS 1LE,2021,6.2,455,455,4,"44,500"
Ford,Mustang Mach 1,2021,5,480,420,4,"51,000"
Nissan,370Z Nismo,2021,3.7,350,276,5.2,"45,000"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,46,000"
Bugatti,Chiron,2022,8,1500,1180,2.4,"30,00,000"
Koenigsegg,Jesko,2021,5,1262,1106,2.5,"30,00,000"
Pagani,Huayra,2021,6,764,738,2.6,"26,00,000"
McLaren,Speedtail,2021,4,1035,848,2.5,"23,00,000"
Lamborghini,Sián,2021,6.5,819,531,2.8,"36,00,000"
Rimac,C_Two,2021,Electric,1914,1732,1.8,"24,00,000"
Porsche,Cayman,2022,2,300,280,4.9,"59,900"
Lamborghini,Aventador,2021,6.5,770,531,2.8,"3,93,695"
Ferrari,Portofino,2021,3.9,591,413,3.5,"2,15,000"
Audi,RS 5,2022,2.9,444,443,3.7,"75,100"
McLaren,GT,2021,4,620,465,3.1,"2,10,000"
BMW,Z4 M40i,2022,3,382,369,4.3,"63,700"
Mercedes-Benz,SLC 43,2020,3,385,384,4.6,"62,000"
Chevrolet,Camaro SS,2022,6.2,455,455,4.3,"42,500"
Ford,Mustang GT,2022,5,460,420,4.3,"36,120"
Nissan,370Z Nismo,2020,3.7,350,276,4.6,"45,790"
Aston Martin,Vantage,2022,4,503,505,3.6,"1,46,000"
Bentley,Continental GT,2021,4,626,664,3.3,"2,20,000"
Porsche,718 Boxster,2022,2,300,280,4.9,"62,000"
Lamborghini,Urus,2021,4,641,627,3.6,"2,22,004"
Ferrari,F8 Spider,2021,3.9,710,568,2.9,"2,80,000"
Audi,TT RS,2022,2.5,394,354,3.6,"69,900"
McLaren,570S,2021,3.8,562,443,2.9,"2,08,800"
BMW,M4,2022,3,473,406,4,"72,800"
Porsche,718 Cayman,2022,2,300,280,4.9,"60,500"
Lamborghini,Aventador,2021,6.5,730,509,2.9,"3,93,695"
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"6,25,000"
Audi,RS5,2022,2.9,444,443,3.7,"75,100"
McLaren,GT,2021,4,612,465,3.2,"2,08,800"
BMW,M2,2022,3,405,406,4,"58,900"
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"2,29,000"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000"
Ford,GT,2022,3.5,660,550,3,"5,00,000"
Nissan,370Z Nismo,2020,3.7,350,276,5.2,"46,200"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.6,"71,000"
Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"3,08,000"
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"80,500"
Jaguar,F-Type R,2021,5,575,516,3.5,"1,05,900"
Lotus,Evora GT,2020,3.5,416,317,3.8,"96,950"
Maserati,GranTurismo,2019,4.7,454,384,4.7,"1,50,980"
Porsche,Panamera Turbo S,2022,4,630,604,2.9,"1,80,800"
Lamborghini,Urus,2021,4,641,627,3.2,"2,18,000"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,46,000"
Lotus,Evora,2021,3.5,416,317,3.8,"94,000"
Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"67,150"
Jaguar,F-Type,2022,3,380,339,4.9,"70,900"
Maserati,GranTurismo,2021,4.7,454,384,4.7,"1,34,300"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,00,200"
Audi,RS5 Coupe,2022,2.9,444,443,3.7,"76,450"
BMW,M2 Competition,2021,3,405,406,4,"58,900"
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"64,000"
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,500"
Ford,GT,2021,3.5,647,550,2.8,"5,00,000"
Lexus,LC 500,2022,5,471,398,4.4,"92,950"
McLaren,570S,2022,3.8,562,443,3.1,"1,98,950"
Mercedes-AMG,C63 S Coupe,2021,4,503,516,3.7,"77,950"
Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790"
Porsche,718 Boxster,2021,2,300,280,4.9,"62,000"
Lamborghini,Aventador S,2021,6.5,729,507,2.9,"4,17,826"
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"2,74,280"
Audi,TT RS Coupe,2021,2.5,394,354,3.6,"67,600"
BMW,M4 Coupe,2021,3,473,406,3.8,"71,800"
Acura,NSX,2021,3.5,573,476,2.7,"1,59,495"
Aston Martin,DBS Superleggera,2022,5.2,715,664,3.4,"3,14,500"
Bentley,Continental GT,2022,6,626,664,3.3,"2,14,425"
Bugatti,Chiron,2022,8,1500,1180,2.3,"30,00,000"
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"71,490"
Jaguar,F-Type,2021,5,575,516,3.5,"1,05,900"
Koenigsegg,Jesko,2021,5,1280,1106,2.5,"28,00,000"
Lexus,LC 500,2021,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,04,400"
Maserati,GranTurismo,2022,4.7,454,384,4.7,"1,50,980"
McLaren,Artura,2022,3,671,531,3,"2,25,000"
Pagani,Huayra,2021,6,764,738,2.6,"26,00,000"
Porsche,Cayman GT4,2022,4,414,309,4.2,"1,02,000"
Rimac,C_Two,2021,Electric,1914,1696,1.9,"24,00,000"
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"3,35,550"
Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"1,41,990"
Toyota,GR Supra,2022,3,382,368,3.9,"43,090"
TVR,Griffith,2021,5,500,420,3.9,"1,57,500"
Ultima,RS,2021,6.2,1200,1300,2.3,"2,20,000"
W Motors,Fenyr SuperSport,2022,3.8,800,723,2.7,"15,50,000"
Acura,NSX,2021,3.5,573,476,2.9,"1,57,500"
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.2,"3,08,000"
Bentley,Continental GT,2021,6,626,664,3.6,"2,02,500"
Bugatti,Chiron,2021,8,1500,1180,2.3,"30,00,000"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000"
Jaguar,F-Type,2021,3,380,339,4.9,"63,100"
Lexus,LC 500,2021,5,471,398,4.4,"92,950"
Lotus,Evija,2022,Electric,1973,1254,2.5,"26,00,000"
Maserati,GranTurismo,2021,4.7,454,384,4.8,"1,34,300"
Porsche,Taycan,2021,Electric,616,774,2.6,"1,85,000"
Rimac,C_Two,2022,Electric,1914,1696,1.9,"24,00,000"
Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"1,40,000"
McLaren,Artura,2022,3,671,531,3,"2,25,000"
Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.1,"3,25,000"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
Ford,GT,2021,3.5,647,550,3,"5,00,000"
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"3,07,820"
Jaguar,F-Type,2022,5,575,516,3.5,"1,03,200"
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"80,190"
Lotus,Evora GT,2022,3.5,416,317,3.8,"1,05,000"
Alfa Romeo,4C Spider,2020,1.8,237,258,4.1,"68,745"
Subaru,WRX STI,2022,2.5,310,290,5.2,"38,170"
Acura,NSX,2022,3.5,573,476,2.7,"1,57,500"
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"28,00,000"
Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"1,39,990"
Bugatti,Chiron Super Sport 300+,2022,8,1578,1180,2.3,"52,00,000"
McLaren,Senna,2020,4,789,590,2.7,"15,00,000"
Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"1,85,000"
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"2,75,000"
Lexus,LC 500,2022,5,471,398,4.4,"93,050"
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"65,000"
Audi,RS 7 Sportback,2022,4,591,590,3.5,"1,14,000"
Ford,GT,2022,3.5,660,550,3,"5,00,000"
BMW,M2 CS,2022,3,444,406,3.8,"84,595"
Porsche,Cayman GT4,2022,4,414,309,4.2,"1,02,550"
Lamborghini,Aventador,2022,6.5,770,531,2.8,"3,93,695"
Aston Martin,Vantage,2021,4,503,505,3.6,"1,46,000"
Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950"
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"1,80,000"
Lamborghini,Aventador S,2022,6.5,729,507,2.9,"4,60,247"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Audi,RS 6 Avant,2022,4,591,590,3.1,"1,10,045"
McLaren,570S,2021,3.8,562,443,3.1,"1,92,500"
BMW,M5,2022,4.4,600,553,3.2,"1,03,500"
Mercedes-Benz,AMG C 63 S,2021,4,503,516,3.7,"77,400"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195"
Ford,GT,2021,3.5,660,550,3,"5,00,000"
Nissan,370Z Nismo,2020,3.7,350,276,5,"46,815"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,02,550"
Audi,TT RS,2021,2.5,394,354,3.6,"67,895"
Chevrolet,Corvette Z06,2023,5.5,625,650,2.6,"85,000"
Lamborghini,Urus,2022,4,641,626,3.2,"2,18,009"
Mercedes-Benz,AMG GT 63 S,2021,4,630,664,3.1,"1,62,900"
Ferrari,Portofino M,2022,3.9,612,560,3.5,"2,45,000"
Bugatti,Chiron,2021,8,1479,1180,2.5,"30,00,000"
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"3,04,995"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,00,450"
Porsche,Cayman GT4,2022,4,414,309,4.2,"1,00,200"
Acura,NSX,2021,3.5,573,476,2.7,"1,57,500"
Lexus,LC,2021,5,471,398,4.4,"92,950"
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"74,750"
Audi,RS7,2021,4,591,590,3.5,"1,14,000"
Bentley,Continental GT,2021,6,626,664,3.3,"2,18,400"
BMW,M5,2021,4.4,600,553,3.2,"1,03,500"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
Dodge,Challenger Hellcat,2021,6.2,717,656,3.5,"70,595"
Ford,GT,2022,3.5,647,550,3,"5,00,000"
Jaguar,F-Type R,2021,5,575,516,3.5,"1,03,200"
Lamborghini,Aventador,2021,6.5,730,509,2.9,"3,93,695"
McLaren,570S,2021,3.8,562,443,3.1,"2,03,500"
Mercedes-Benz,SLS AMG,2015,6.2,583,479,3.6,"2,21,580"
Nissan,370Z Nismo,2020,3.7,350,276,4.7,"47,190"
Porsche,Boxster,2021,2,300,280,4.9,"62,000"
Porsche,718 Cayman,2022,2,300,280,4.9,"61,500"
Lamborghini,Aventador,2021,6.5,759,531,2.9,"3,93,695"
Ferrari,Roma,2021,3.9,612,561,3.3,"2,22,630"
Audi,RS 5,2022,2.9,444,442,3.5,"75,400"
McLaren,570S,2020,3.8,562,443,3.1,"2,08,000"
BMW,M2,2022,3,405,406,4.2,"58,900"
Mercedes-Benz,SL,2022,3,429,384,4.9,"96,250"
Chevrolet,Camaro,2021,6.2,455,455,4,"25,000"
Ford,GT,2022,3.5,660,550,3,"5,00,000"
Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000"
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"3,07,820"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,00,450"
Maserati,GranTurismo,2021,4.7,454,384,4.7,"1,34,300"
Porsche,Panamera,2022,2.9,325,331,5.2,"88,550"
Lamborghini,Urus,2021,4,641,627,3.6,"2,18,009"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Audi,RS 6,2022,4,591,590,3.5,"1,09,000"
McLaren,Artura,2022,3,671,531,3,"2,25,000"
Porsche,Taycan 4S,2021,Electric (93 kWh),429,472,3.8,"1,03,800"
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"4,17,650"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Audi,RS 7,2022,4,591,590,3.5,"1,17,000"
McLaren,570S,2021,3.8,562,443,3.1,"1,92,500"
BMW,M4,2021,3,473,406,4,"72,800"
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.5,"2,28,000"
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
Ford,GT,2021,3.5,660,550,3,"5,00,000"
Nissan,370Z Nismo,2021,3.7,350,276,5,"48,000"
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"3,07,820"
Lexus,LC 500,2021,5,471,398,4.4,"93,000"
Bentley,Continental GT,2021,4,626,664,3.3,"2,02,500"
Maserati,GranTurismo,2021,4.7,454,384,4.7,"1,50,980"
Tesla,Model S Plaid,2022,Electric (100 kWh),1020,1050,1.98,"1,31,190"
Rolls-Royce,Dawn,2021,6.6,563,605,4.3,"3,46,300"
Bugatti,Chiron Pur Sport,2021,8,1500,1180,2.3,"35,99,000"
McLaren,Senna,2019,4,789,590,2.7,"10,50,000"
Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid (4.0),690,641,3,"1,86,350"
Acura,NSX,2021,3.5,573,476,2.7,"1,57,500"
Aston Martin,DB11,2021,4,503,498,3.7,"2,05,600"
Audi,RS7,2021,4,591,590,3.5,"1,14,000"
Bentley,Continental GT,2021,6,626,664,3.6,"2,01,000"
Bugatti,Chiron,2021,8,1500,1180,2.5,"30,00,000"
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"67,000"
Dodge,Challenger Hellcat,2021,6.2,717,656,3.5,"64,000"
Ferrari,812 Superfast,2021,6.5,789,530,2.8,"3,40,000"
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"5,17,770"
McLaren,600LT Spider,2021,3.8,592,457,2.8,"2,56,500"
Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"3,25,000"
Nissan,400Z,2023,3,400,350,4,"40,000"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,01,000"
Rimac,Nevera,2021,Electric,1914,1696,1.9,"24,00,000"
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"3,30,000"
Tesla,Model S Plaid,2021,Electric,1020,N/A,1.9,"1,39,990"
Toyota,Supra,2021,3,382,368,3.9,"43,000"
Porsche,718 Boxster,2021,2,300,280,4.9,"62,000"
Porsche,718 Boxster,2022,2,300,280,4.9,"62,000"
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"4,17,826"
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"6,25,000"
Audi,RS 7,2022,4,591,590,3.5,"1,14,000"
McLaren,Artura,2021,3,671,531,3,"2,25,000"
BMW,M2,2022,3,405,406,4.1,"58,900"
Mercedes-Benz,SLS AMG,2015,6.2,583,479,3.6,"2,21,580"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
Ford,GT,2022,3.5,647,550,3,"5,00,000"
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,000"
Dodge,Charger Hellcat,2021,6.2,707,650,3.6,"69,995"
Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"3,05,000"
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"75,000"
Audi,TT RS,2021,2.5,394,354,3.6,"68,000"
Bentley,Continental GT,2021,6,626,664,3.6,"2,03,825"
BMW,M5,2022,4.4,600,553,3.2,"1,03,500"
Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"58,900"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"63,000"
Ford,Mustang GT,2022,5,460,420,4,"45,000"
Porsche,Cayman,2022,2,300,280,4.9,"59,900"
Lamborghini,Aventador,2021,6.5,770,531,2.8,"4,17,826"
Ferrari,Roma,2022,3.9,612,560,3.3,"2,22,630"
Audi,RS7,2022,4,591,590,3.5,"1,14,000"
