Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
McLaren,570S,2021,3.8,562,443,2.7,"2,04,995"
BMW,M4,2022,3,473,406,4.1,"71,800"
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.5,"2,43,600"
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
Ford,GT,2022,3.5,660,550,2.8,"5,00,000"
Nissan,370Z Nismo,2021,3.7,350,276,5,"47,190"
Porsche,Panamera,2022,2.9,325,331,5.4,"88,550"
Lamborghini,Urus,2021,4,641,627,3.2,"2,18,000"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Audi,RS6,2022,4,591,590,3.5,"1,13,000"
McLaren,Artura,2021,3,671,531,3,"2,25,000"
BMW,M2,2022,3,405,406,4,"58,900"
Mercedes-Benz,GT 63,2021,4,577,590,3.3,"1,61,200"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"3,10,000"
Bugatti,Chiron,2022,8,1500,1180,2.4,"30,00,000"
Koenigsegg,Jesko,2021,5,1280,1106,2.5,"28,00,000"
Pagani,Huayra,2021,6,764,737,3,"26,00,000"
Rimac,C_Two,2022,N/A,1914,1696,1.85,"24,00,000"
McLaren,Senna,2021,4,789,590,2.7,"10,00,000"
Porsche,918 Spyder,2015,4.6,887,944,2.2,"18,00,000"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Lamborghini,Aventador SVJ,2020,6.5,759,531,2.8,"5,17,000"
Audi,RS 6 Avant,2021,4,591,590,3.5,"1,10,000"
Bentley,Continental GT Speed,2022,6,650,664,3.5,"3,00,000"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"68,000"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000"
Ford,GT,2021,3.5,660,550,2.9,"5,00,000"
Lexus,LC 500,2022,5,471,398,4.4,"92,000"
Lotus,Evija,2022,N/A,1972,1254,2.5,"27,00,000"
Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"3,30,000"
Aston Martin,DB11,2021,4,503,513,3.9,"2,05,000"
Bentley,Continental GT,2022,4,542,568,3.9,"2,29,000"
Jaguar,F-Type,2022,2,296,295,5.4,"62,750"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,00,000"
Maserati,GranTurismo,2021,4.7,454,384,4.7,"1,35,000"
Porsche,Boxster,2022,2,300,280,4.9,"63,000"
Alfa Romeo,4C,2020,1.8,237,258,4.2,"67,150"
Chevrolet,Camaro,2022,6.2,455,455,4,"62,195"
Dodge,Challenger,2022,3.6,305,268,6.4,"28,000"
Ford,GT,2022,3.5,660,550,2.9,"5,00,000"
Audi,RS7,2022,4,591,590,3.5,"1,15,045"
BMW,M4,2022,3,473,406,4.1,"71,800"
Lamborghini,Aventador,2021,6.5,729,507,2.9,"3,93,695"
Mercedes-Benz,AMG C 63,2021,4,469,479,3.8,"69,900"
Nissan,370Z,2021,3.7,350,276,5.3,"30,090"
Porsche,Cayman,2022,2,300,280,4.9,"68,000"
BMW,i8,2022,1.5,369,184,4.2,"1,47,500"
Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"58,900"
Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"1,85,000"
Lamborghini,Aventador S,2021,6.5,729,507,2.9,"4,17,650"
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"6,25,000"
Audi,RS7,2022,4,591,590,3.5,"1,15,000"
McLaren,GT,2022,4,620,465,3.1,"2,08,000"
BMW,M5,2022,4.4,600,553,3.2,"1,03,500"
Mercedes-Benz,SLS AMG,2021,4,730,590,2.9,"2,50,000"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
Ford,GT,2022,3.5,660,550,2.8,"5,00,000"
Nissan,370Z Nismo,2021,3.7,350,276,5,"46,100"
Porsche,Panamera Turbo S,2022,4,630,604,3.1,"1,80,000"
Lamborghini,Urus,2021,4,641,627,3.2,"2,18,000"
Ferrari,Portofino,2022,3.9,591,561,3.4,"2,50,000"
Audi,TT RS,2022,2.5,394,354,3.6,"70,000"
McLaren,570S,2021,3.8,562,443,3.1,"2,00,000"
BMW,i8,2022,Hybrid,369,184,4.2,"1,48,500"
Porsche,718 Cayman,2022,2,300,280,4.9,"61,500"
Lamborghini,Aventador,2021,6.5,770,531,2.8,"4,17,826"
Ferrari,Portofino,2022,3.9,612,561,3.3,"2,45,000"
Audi,TT RS,2022,2.5,394,354,3.6,"67,800"
McLaren,GT,2022,4,620,465,3.1,"2,11,300"
BMW,M4,2022,3,473,406,4.1,"71,800"
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.5,"2,22,500"
Chevrolet,Camaro SS,2022,6.2,455,455,4,"43,995"
Ford,GT,2022,3.5,660,550,2.9,"5,00,000"
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,790"
Porsche,911 Turbo S,2022,3.8,640,590,2.6,"2,08,000"
McLaren,765LT,2021,4,755,590,2.8,"3,58,000"
Lamborghini,Urus,2021,4,641,627,3.6,"2,18,009"
Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"3,25,000"
BMW,M5 Competition,2022,4.4,617,553,3.1,"1,03,500"
Audi,RS7,2022,4,591,590,3.5,"1,15,000"
Aston Martin,Vantage,2022,4,503,505,3.5,"1,52,995"
Ferrari,F8 Spider,2021,3.9,710,568,2.9,"2,74,280"
Lexus,LC 500,2022,5,471,398,4.4,"1,02,550"
Porsche,Taycan,2022,N/A,469,479,3.8,"79,900"
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"5,17,770"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Audi,RS6 Avant,2021,4,591,590,3.5,"1,09,000"
McLaren,600LT Spider,2021,3.8,592,457,2.8,"2,56,500"
BMW,M4,2022,3,473,406,3.8,"71,800"
Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"1,80,000"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
Ford,GT,2022,3.5,660,550,3,"5,00,000"
Nissan,370Z Nismo,2021,3.7,350,276,5,"48,000"
Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3,"1,90,000"
Lamborghini,Urus,2021,4,641,627,3.5,"2,18,000"
Ferrari,Portofino M,2021,3.9,612,561,3.4,"2,35,000"
Audi,TT RS,2022,2.5,394,354,3.6,"67,600"
McLaren,Artura,2022,3,671,531,3,"2,25,000"
BMW,M2 CS,2022,3,444,406,3.8,"84,595"
Mercedes-Benz,SLS AMG Black Series,2021,6.2,622,468,3.5,"3,35,000"
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
Porsche,718 Boxster,2022,2,300,280,4.9,"63,000"
Lamborghini,Aventador SVJ,2020,6.5,759,531,2.8,"5,73,966"
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"6,25,000"
Audi,TT RS Coupe,2022,2.5,394,354,3.5,"68,000"
McLaren,GT,2020,4,612,465,3.1,"2,10,000"
BMW,Z4 Roadster,2022,2,255,295,5.2,"50,000"
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"2,00,000"
Chevrolet,Camaro SS Convertible,2022,6.2,455,455,4,"49,000"
Ford,GT,2021,3.5,660,550,2.9,"5,00,000"
Nissan,370Z Coupe,2020,3.7,332,270,5,"30,090"
Aston Martin,Vantage,2021,4,503,505,3.6,"1,42,086"
Bentley,Continental GT,2022,6,626,664,3.3,"2,25,000"
Bugatti,Chiron,2021,8,1479,1180,2.4,"30,00,000"
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"68,000"
Jaguar,F-Type,2022,2,296,295,5.4,"63,700"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,00,000"
Maserati,GranTurismo,2022,4.7,454,384,4.7,"1,50,980"
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"3,04,995"
Lotus,Evora GT,2021,3.5,416,317,3.8,"98,395"
Porsche,Panamera Turbo S E-Hybrid,2021,4,689,642,3,"1,90,000"
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"5,17,000"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Audi,RS7,2022,4,591,590,3.5,"1,17,000"
Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,"1,68,000"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,500"
Ford,GT,2021,3.5,660,550,2.8,"5,00,000"
Nissan,370Z Nismo,2021,3.7,350,276,4.7,"46,000"
Porsche,718 Cayman GT4,2022,4,414,309,4.2,"1,02,000"
Mercedes-AMG,C63 S Coupe,2021,4,503,516,3.7,"77,500"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,47,000"
McLaren,570S,2021,3.8,562,443,3.1,"1,93,000"
BMW,M5,2022,4.4,600,553,3.2,"1,03,500"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,000"
Lexus,LC 500,2021,5,471,398,4.4,"92,950"
Mercedes-AMG,GT 63 S,2021,4,630,664,3.1,"1,62,000"
Audi,TT RS,2021,2.5,394,354,3.6,"67,600"
Acura,NSX,2021,3.5,573,476,2.9,"1,57,500"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,02,000"
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"4,17,826"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Audi,RS 5,2022,2.9,444,443,3.5,"76,700"
McLaren,570S Spider,2020,3.8,562,443,3.1,"2,08,800"
BMW,M2 Competition,2022,3,405,406,4.2,"58,900"
Mercedes-Benz,C 63 AMG,2022,4,469,479,3.9,"69,000"
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
Ford,Mustang GT,2022,5,460,420,4.5,"43,000"
Dodge,Challenger R/T,2021,5.7,372,400,5.1,"35,000"
Aston Martin,Vantage,2021,4,503,505,3.6,"1,51,000"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,05,000"
Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"69,000"
Jaguar,F-Type,2022,2,296,295,5.4,"62,500"
Tesla,Roadster,2022,Electric,1000,737,1.9,"2,00,000"
Koenigsegg,Jesko,2022,5,1600,1106,2.5,"30,00,000"
Bugatti,Chiron Super Sport 300+,2021,8,1578,1180,2.4,"52,00,000"
Rimac,Nevera,2021,Electric,1914,1696,1.85,"24,00,000"
Porsche,Cayman GT4,2022,4,414,309,4.2,"1,02,100"
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"63,000"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,42,086"
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"83,250"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000"
Lexus,LC 500,2022,5,471,398,4.4,"93,050"
Audi,RS 7 Sportback,2021,4,591,590,3.5,"1,14,000"
BMW,M4 Competition,2022,3,503,479,3.8,"74,700"
Mercedes-Benz,C63 S AMG,2022,4,503,516,3.9,"77,600"
Ford,GT,2022,3.5,660,550,2.9,"5,00,000"
McLaren,GT,2021,4,620,465,3.1,"2,10,000"
Porsche,Panamera Turbo S,2022,4,630,604,2.9,"1,81,100"
Lamborghini,Aventador S,2021,6.5,730,507,2.9,"4,17,826"
Aston Martin,DBS Superleggera,2022,5.2,715,664,3.2,"3,29,100"
Audi,TT RS,2022,2.5,394,354,3.6,"67,600"
Mercedes-Benz,AMG C43 Coupe,2021,3,385,384,4.5,"59,900"
BMW,i8,2022,1.5,369,184,4.2,"1,47,500"
Chevrolet,Corvette Stingray,2021,6.2,490,465,2.9,"59,900"
Porsche,Taycan,2022,2.0 (Electric),469,263,3.8,"81,250"
Lamborghini,Aventador,2021,6.5,730,509,2.9,"5,17,000"
Ferrari,Roma,2021,3.9,611,560,3.3,"2,22,620"
Audi,RS7,2022,4,591,590,3.5,"1,15,000"
McLaren,GT,2021,4,612,465,3.1,"2,10,000"
BMW,M2,2022,3,405,406,4.2,"58,900"
Mercedes-Benz,C63 AMG,2021,4,469,479,3.9,"77,000"
Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"43,995"
Ford,Mustang Mach 1,2021,5,480,420,4.1,"51,720"
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"46,610"
Porsche,Panamera,2022,2.9,325,331,5.3,"88,550"
Lamborghini,Urus,2021,4,641,627,3.6,"2,18,009"
Ferrari,SF90 Stradale,2021,4.0 (Hybrid),986,590,2.5,"6,25,000"
Audi,RS6,2022,4,591,590,3.5,"1,20,000"
McLaren,570S,2021,3.8,562,443,3.1,"1,92,500"
BMW,M4,2022,3,503,479,3.8,"74,000"
Mercedes-Benz,AMG A45,2021,2,382,354,4,"50,000"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,995"
Acura,NSX,2021,3.5,573,476,2.7,"1,57,500"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,42,086"
Bentley,Continental GT,2021,4,542,568,3.3,"2,02,500"
Bugatti,Chiron,2022,8,1479,1180,2.4,"29,00,000"
Ferrari,F8 Tributo,2022,3.9,710,568,2.8,"2,75,000"
Lamborghini,Aventador,2021,6.5,730,509,2.9,"5,17,000"
McLaren,GT,2021,4,612,465,3.1,"2,01,500"
Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"1,83,000"
Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,"1,85,000"
Audi,RS7,2021,4,591,590,3.5,"1,14,000"
BMW,M4,2021,3,473,406,4.1,"71,800"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.5,"80,190"
Ford,GT,2022,3.5,660,550,2.8,"5,00,000"
Jaguar,F-Type,2021,3,380,339,4.4,"62,750"
Lexus,LC 500,2021,5,471,398,4.4,"92,000"
Lotus,Evija,2021,Electric,2000,1254,2.8,"28,00,000"
Maserati,GranTurismo,2021,Electric,550,N/A,2.8,"2,00,000"
Nissan,370Z,2021,3.7,332,270,5,"30,090"
Rolls-Royce,Ghost,2021,6.8,563,627,4.6,"3,32,500"
Porsche,Taycan,2021,2,402,254,5.1,"81,250"
Aston Martin,DB11,2021,4,630,516,3.7,"1,98,995"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,05,000"
Acura,NSX,2022,3.5,573,476,2.7,"1,57,500"
Tesla,Roadster,2022,0,"10,000","7,376",1.9,"2,00,000"
Chevrolet,Camaro,2022,6.2,455,455,4,"25,000"
Dodge,Charger,2021,6.2,797,707,3.3,"72,000"
Jaguar,F-Type,2021,3,380,339,4.9,"62,750"
Lexus,LC 500,2021,5,471,398,4.4,"93,000"
BMW,M4,2022,3,473,406,4.1,"71,800"
Ford,GT,2021,3.5,660,550,2.9,"5,00,000"
Maserati,GranTurismo,2021,4.7,454,384,4.7,"1,50,980"
McLaren,600LT,2021,3.8,592,457,2.8,"2,56,500"
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.6,"2,54,995"
Nissan,370Z,2021,3.7,332,270,5.2,"30,000"
Audi,RS 7,2021,4,591,590,3.4,"1,14,000"
Bentley,Continental GT,2021,4,542,568,3.9,"2,20,000"
Bugatti,Chiron,2021,8,"1,500","1,180",2.4,"30,00,000"
Porsche,Cayman,2022,2,300,280,4.5,"59,900"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,47,000"
Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"67,150"
Audi,RS 5,2022,2.9,444,443,3.5,"75,100"
BMW,M2,2022,3,405,406,4,"58,900"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"60,695"
Ferrari,F8 Spider,2022,3.9,710,568,2.9,"2,74,390"
Jaguar,F-Type,2021,3,296,295,5.4,"64,700"
Lamborghini,Aventador,2021,6.5,759,531,2.9,"5,17,770"
Lexus,LC 500,2022,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"99,990"
Maserati,GranTurismo,2021,4.7,454,384,4.7,"1,50,800"
McLaren,GT,2021,4,612,465,3.1,"2,10,000"
Mercedes-Benz,AMG C 63,2021,4,469,479,3.8,"67,600"
Nissan,370Z Nismo,2021,3.7,350,276,4.5,"45,790"
Porsche,Panamera,2022,2.9,325,331,5.3,"88,800"
Subaru,WRX STI,2021,2.5,310,290,5.2,"38,170"
Tesla,Roadster,2022,N/A,"10,000+",N/A,1.9,"2,00,000"
Porsche,718 Cayman,2022,2,300,280,4.9,"61,500"
Lamborghini,Aventador,2021,6.5,729,509,2.9,"3,93,695"
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"6,25,000"
Audi,RS5 Coupe,2022,2.9,444,443,3.5,"76,350"
McLaren,570S,2021,3.8,562,443,3.1,"2,02,000"
BMW,M2,2022,3,405,406,4,"58,900"
Mercedes-Benz,SL,2022,3,429,384,4.4,"96,000"
Chevrolet,Camaro,2021,6.2,455,455,4,"25,000"
Ford,GT,2022,3.5,660,550,2.8,"5,00,000"
Nissan,370Z,2021,3.7,332,270,5.3,"33,000"
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"75,250"
Aston Martin,DB11,2022,4,630,516,3.7,"2,01,495"
Bentley,Continental GT,2021,6,626,664,3.3,"2,01,000"
Dodge,Challenger,2021,6.4,485,475,3.8,"62,000"
Jaguar,F-Type R,2022,5,575,516,3.5,"1,03,200"
Lexus,LC 500,2022,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"99,000"
Maserati,GranTurismo,2021,4.7,454,384,4.7,"1,50,000"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,02,500"
Aston Martin,Vantage,2022,4,503,505,3.5,"1,49,995"
Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.5,"78,595"
Audi,RS 7,2021,4,591,590,3.5,"1,14,000"
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"37,500"
Ford,Mustang GT,2022,5,460,420,4,"38,500"
Jaguar,F-Type R,2022,5,575,516,3.5,"1,03,200"
Lexus,LC 500,2022,5,471,398,4.4,"92,950"
McLaren,570S,2021,3.8,562,443,3.1,"2,08,800"
Mercedes-Benz,AMG C63,2022,4,469,479,3.8,"71,450"
Nissan,370Z Nismo,2021,3.7,350,276,4.9,"47,820"
Porsche,Panamera GTS,2021,4,473,457,3.9,"1,34,150"
Audi,TT RS,2022,2.5,394,354,3.6,"67,600"
BMW,M4,2021,3,473,406,3.8,"71,800"
Ferrari,F8 Tributo,2021,3.9,710,568,2.8,"2,74,280"
Lamborghini,Aventador,2021,6.5,770,531,2.9,"3,93,695"
McLaren,GT,2021,4,612,465,3.1,"2,50,000"
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4,630,664,3.1,"1,71,200"
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,"3,21,000"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,00,500"
Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,"1,85,000"
McLaren,570S,2021,3.8,562,443,3.1,"1,95,000"
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"5,17,770"
Ford,GT,2021,3.5,660,550,3,"5,00,000"
Audi,RS7 Sportback,2022,4,591,590,3.5,"1,14,000"
BMW,M4,2022,3,473,406,4.1,"72,800"
Mercedes-AMG,C63 S,2022,4,503,516,3.7,"78,100"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
Dodge,Charger Hellcat,2021,6.2,717,650,3.6,"70,000"
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"78,450"
Tesla,Model S Plaid,2022,Electric,"1,020","1,050",1.9,"1,41,190"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid,689,642,3,"1,90,000"
McLaren,Artura,2022,3,671,531,3,"2,25,000"
Lamborghini,Urus,2021,4,641,627,3.6,"2,22,000"
Ford,Mustang Mach 1,2021,5,480,420,4,"52,915"
Porsche,911,2022,3,379,331,4,"1,01,200"
Lamborghini,Huracan,2021,5.2,630,443,2.8,"2,74,390"
Ferrari,488 GTB,2022,3.9,661,561,3,"3,33,750"
Audi,R8,2022,5.2,562,406,3.2,"1,42,700"
McLaren,720S,2021,4,710,568,2.7,"2,98,000"
BMW,M8,2022,4.4,617,553,3.1,"1,30,000"
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"1,18,500"
Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900"
Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000"
Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"2,12,000"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195"
Aston Martin,Vantage,2021,4,503,505,3.6,"1,47,000"
Bugatti,Chiron,2022,8,1500,1180,2.5,"39,00,000"
Koenigsegg,Jesko,2022,5,1280,1015,2.5,"30,00,000"
Pagani,Huayra,2021,6,764,740,2.8,"26,00,000"
Rimac,Nevera,2022,Electric,1914,1696,1.85,"24,00,000"
Lotus,Evija,2022,Electric,1973,1254,2.5,"20,00,000"
Pininfarina,Battista,2021,Electric,1872,1696,1.9,"25,00,000"
Maserati,MC20,2021,3,621,538,2.9,"2,10,000"
Porsche,Cayman,2021,2,300,280,5.1,"59,900"
Lamborghini,Aventador,2021,6.5,730,509,2.9,"3,93,695"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Audi,RS 5,2021,2.9,444,443,3.5,"75,100"
McLaren,GT,2022,4,612,465,3.1,"2,10,000"
BMW,M2,2021,3,405,406,4,"58,900"
Mercedes-Benz,SLS AMG,2021,6.3,622,468,3.6,"2,54,500"
Chevrolet,Camaro,2021,6.2,455,455,4,"25,000"
Ford,Mustang,2021,2.3,310,350,5.3,"27,205"
Nissan,370Z,2021,3.7,332,270,5.1,"30,090"
Aston Martin,Vantage,2021,4,503,505,3.6,"1,46,000"
Bugatti,Chiron,2021,8,1479,1180,2.4,"30,00,000"
Koenigsegg,Jesko,2022,5,1280,1106,2.5,"30,00,000"
Lotus,Evija,2021,Electric Motor,1972,1254,2,"20,00,000"
McLaren,Senna,2021,4,789,590,2.7,"10,00,000"
Pagani,Huayra,2021,6,764,738,3,"26,00,000"
Rimac,Nevera,2021,Electric Motor,1888,1696,1.85,"24,00,000"
